form	lemma	POS	morph
བློ་སྦྱོང་	བློ་སྦྱོང་	OTHER
དོན་	དོན་	NOUN
བདུན་	བདུན་	NUM
མ་	མ་	PART
ཕལ་སྐད་	ཕལ་སྐད་	NOUN
ཀྱི་	གི་	PART
ས་	ས་	ADP
བཀྲལ་བ་	བཀྲལ་བ་	VERB
བློ་	བློ་	NOUN
དམན་	དམན་	VERB
འཇུག་པ་	འཇུག་པ་	VERB
འི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
མཛད་པ་པོ་	མཛད་པ་པོ་	VERB
།		PUNCT
		
སྐྱབས་རྗེ་	སྐྱབས་རྗེ་	OTHER
མཁན་ཆེན་	མཁན་ཆེན་	OTHER
ཁྲ་	ཁྲ་	NOUN
འགུ་		NON_WORD
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
།		PUNCT
མཉམ་མེད་	མཉམ་མེད་	ADJ
ཐུབ་པ་	ཐུབ་པ་	VERB
འི་	གི་	PART
དབང་པོ་	དབང་པོ་	NOUN
ཟས་གཙང་	ཟས་གཙང་	PROPN
སྲས་པོ་	སྲས་པོ་	NOUN
ཤཱཀྱ་	ཤཱཀྱ་	PROPN
ཐུབ་པ་	ཐུབ་པ་	VERB
ས་	གིས་	PART
གདུལ་བྱ་	གདུལ་བྱ་	NOUN
འི་	གི་	PART
ཁམས་	ཁམས་	NOUN
དབང་	དབང་	NOUN
མོས་པ་	མོས་པ་	VERB
ར་	ལ་	PART
འཚམས་པ་	འཚམས་པ་	VERB
འི་	གི་	PART
ཆོས་འཁོར་	ཆོས་འཁོར་	NOUN
རིམ་པ་	རིམ་པ་	NOUN
གསུམ་	གསུམ་	NUM
དུ་	ལ་	PART
བསྐོར་བ་	བསྐོར་བ་	VERB
ར་	ལ་	PART
མཛད་	མཛད་	VERB
།		PUNCT
དེ་དག་	དེ་དག་	OTHER
གི་	གི་	PART
དགོངས་	དགོངས་	VERB
དོན་འགྲེལ་	དོན་འགྲེལ་	OTHER
བ་	བ་	NOUN
བྱེད་པོ་	བྱེད་པོ་	VERB
རྒྱ་གར་	རྒྱ་གར་	PROPN
འཕགས་པ་	འཕགས་པ་	VERB
འི་	གི་	PART
ཡུལ་	ཡུལ་	NOUN
གྱི་	གི་	PART
རྒྱན་	རྒྱན་	NOUN
དྲུག་	དྲུག་	NUM
མཆོག་གཉིས་	མཆོག་གཉིས་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
འི་	གི་	PART
སྲས་པོ་	སྲས་པོ་	NOUN
ཞི་བ་ལྷ་	ཞི་བ་ལྷ་	PROPN
དང་	དང་	NO_POS
།		PUNCT
བཀའ་	བཀའ་	NOUN
གདམས་པ་	གདམས་པ་	VERB
འི་	གི་	PART
བཤེས་གཉེན་	བཤེས་གཉེན་	NOUN
དམ་པ་	དམ་པ་	VERB
ཇོ་བོ་	ཇོ་བོ་	NOUN
རྗེ་	རྗེ་	NO_POS
དཔལ་ལྡན་	དཔལ་ལྡན་	ADJ
ཨ་	ཨ་	X
ཏི་	ཏི་	NO_POS
ཤ་	ཤ་	NOUN
སོགས་	སོགས་	DET
མང་	མང་	VERB
དུ་	ལ་	PART
བྱོན་	བྱོན་	VERB
།		PUNCT
བོད་	བོད་	PROPN
གངས་ཅན་	གངས་ཅན་	ADJ
གྱི་	གི་	PART
ལྗོངས་	ལྗོངས་	NOUN
སུ་	ལ་	PART
བཤད་སྒྲུབ་	བཤད་སྒྲུབ་	NOUN
ཀྱི་	གི་	PART
རིང་ལུགས་	རིང་ལུགས་	OTHER
འཛིན་པ་	འཛིན་པ་	VERB
མང་	མང་	VERB
དུ་	ལ་	PART
བྱོན་	བྱོན་	VERB
ཡང་	ཀྱང་	PART
གཙོ་བོ་	གཙོ་བོ་	ADJ
འི་	གི་	PART
རིགས་	རིགས་	NOUN
སུ་	ལ་	PART
བསྡུ་	བསྡུ་	VERB
ན་	ལ་	PART
སྒྲུབ་བརྒྱུད་	སྒྲུབ་བརྒྱུད་	NOUN
ཤིང་རྟ་	ཤིང་རྟ་	NOUN
བརྒྱད་	བརྒྱད་	NUM
དེ་	སྟེ་	PART
།		PUNCT
སྔ་	སྔ་	ADV
འགྱུར་	འགྱུར་	VERB
རྙིང་མ་	རྙིང་མ་	OTHER
།		PUNCT
བཀའ་	བཀའ་	NOUN
གདམས་	གདམས་	NOUN
།		PUNCT
ལམ་	གམ་	PART
འབྲས་	འབྲས་	NOUN
།		PUNCT
མར་པ་	མར་པ་	PROPN
འི་	གི་	PART
བཀའ་	བཀའ་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
།		PUNCT
ཤངས་པ་	ཤངས་པ་	PROPN
བཀའ་	བཀའ་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
།		PUNCT
ཞི་བྱེད་	ཞི་བྱེད་	NOUN
ཡན་ལག་	ཡན་ལག་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
།		PUNCT
སྦྱོར་	སྦྱོར་	VERB
དྲུག་	དྲུག་	NUM
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
བསྙེན་སྒྲུབ་	བསྙེན་སྒྲུབ་	NOUN
བཅའ་	བཅའ་	VERB
ཡིན་	ཡིན་	NO_POS
།		PUNCT
དེ་དག་	དེ་དག་	OTHER
གི་	གི་	PART
རིང་ལུགས་	རིང་ལུགས་	OTHER
འཛིན་པ་	འཛིན་པ་	VERB
འི་	གི་	PART
